Categoria_Participante,Contribuicao_Link,Contribuicoes_N/A,Contribuicoes_N/C,Contribuicoes_N/D,Contribuicoes_Nao,Contribuicoes_Numero,Contribuicoes_Parcialmente,Contribuicoes_Sim,Estatal,ID_Interno,Link Resultado,Link_Anexo_1,Link_Anexo_2,Link_Anexo_3,Link_Anexo_4,PF_Vinculado_Ocupacao,Personalidade,Pontos_de_Atencao_para_o_Regulacao_em_Numeros_Contribuicoes,Quem,Sub_sub_subcategoria_Participante,Sub_subcategoria_Participante,Subcategoria_Participante
Ator governamental,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Sim,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,RAFAEL FIGUEIREDO VILELA (ANALISTA TÉCNICO-ADMINISTRATIVO - CLASSIFICAÇÃO INDICATIVA),PJ,fIQUEI EM DUVIDA SE ESTA COMO REP. DO MJ OU COMO PF Q TRABALHA LÁ;,Ministério da Justiça,,,Entidade do poder executivo
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,IVANILDO DE FIGUEIREDO ANDRADE DE OLIVEIRA FILHO (PROFESSOR),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,9.0,,9,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,CARLOS ALBERTO MARTINS DE OLIVEIRA (ENGENHEIRO),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",SANTIAGO & CINTRA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,5.0,,5,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,LUCIENE DOS SANTOS SILVA (EMPREGADO DE EMPRESA PÚBLICA),PF,,PORTO DO FORNO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,11.0,,11,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,FRANCISCO CARLOS VIDAL CAVALCANTE (BANCÁRIO),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",BANCO DO NORDESTE,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,LEANDRO PAVIA DA SILVA,,,Indivíduo interessado
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,17.0,,17,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,MARTA MARIA MIRA (SECRETÁRIA),PJ,,ABDTIC - Associação Brasileira de Direito da Tecnologia da Informação e das Comunicações / ABDI - ASSOCIAÇÃO BRASILEIRA DE DIREITO DE INFORMÁTICA E TELECOMUNICAÇÕES,,,Instituição de ensino e/ou pesquisa
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,14.0,,14,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,WANDERSON DOUGLAS MARCONI (ADVOGADO),PJ,,GLOBAL VILLAGE TELECOM LTDA,,,Home Video
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,LUANA BEDIN SELHANE,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,JANAINA GRINGS,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,SÉRGIO RICARDO MONTERO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,4.0,,4,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,BRUNO LOPES BARREIRA DA CUNHA (MILITAR),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",MARINHA DO BRASIL,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,3.0,,3,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,CLODOALDO BUENO (PROFESSOR),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",UNESP - CAMPUS DE ASSIS,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,SANDRO VALGOI,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,IRENE SAAD (ENGENHEIRA),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",ADVOCACIA JOSE EDUARDO DUARTE SAAD,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,NILSON DE SOUZA FRANCO FILHO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,ALEXANDRE BRAGA MENEZES DE FARIA (FUNCIONÁRIO PÚBLICO),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",GOVERDO DO DISTRITO FEDERAL,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,ANTONIO CARLOS RIBEIRO BOTELHO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,CARLOS EDUARDO FERNANDES DE OLIVEIRA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,LIANE AUGUSTA BERNARDI (ARQUITETA),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",PREFEITURA MUNICIPAL DE CURITIBA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,ROGER MARCELLUS RAYMUNDO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,8.0,,8,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,VANESSA MARIA TAVARES LOBATO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,RODRIGO KREISS,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,FERNANDO HENRIQUE CLAUS PRADO (ENGENHEIRO TELECOMUNICAÇÕES),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",SKY,,,Indivíduo interessado
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,8.0,,8,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,VERIDIANA ALIMONTI (ADVOGADA),PJ,,IDEC (INSTITUTO BRASILEIRO DE DEFESA DO CONSUMIDOR),,,
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,RONALD ALLEN COULTER JUNIOR,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,DEISE MARA DA CUNHA,,,Indivíduo interessado
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,8.0,,8,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,MARCIO PATUSCO LANA LOBO (ENGENHEIRO),PJ,"COMO CLASSIFICAR CLUBE DE ENGENHARIA // A CONTRIBUIÇÃO FEITA, PELO SISTEMA, EM NOME DO CLUBE DE ENGENHARIA, É ASSINADA POR DIVERSAS OUTRAS ENTIDADES. Marcio Patusco Conselheiro do Clube de Engenharia Rosa Leal Presidente do Instituto Telecom Marcello Miranda Membro do Conselho Consultivo da Anatel Marcos Dantas Vice-Presidente da União Latina de Economia Política da Informação, Comunicação e Cultura - Capítulo Brasil (ULEPICC-Br) Tereza Trautman Diretora Presidente da CONCEITO A em Audiovisual S/A",CLUBE DE ENGENHARIA,,,
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,LAURA DORNELLAS DA CUNHA SOARES,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,GENILSON GALDINO ALVES,,,Indivíduo interessado
,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,ANDRE GOES DA SILVA (OPERADOR DE ANALISE DE RISCO),,"nao sei como classificar esse. se é PJ, qual é essa empresa, o que ela faz (nao achei nada no google). ao msm tempo não parece que está como pf.",CLEAR SAFE,,,
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,Vhttps://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,ALEXANDRE SANTIAGO (SERVIDOR PÚBLICO),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",MINISTERIO DA FAZENDA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,FABIO ASATO DE CAMARGO (ENGENHEIRO ),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",PETROLEO BRASILEIRO S A,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,5.0,,5,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,OTÁVIO PELEGRINI DE CASTRO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,4.0,,4,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,ELIDA (sem sobrenome) (PRODUÇÃO E GESTÃO CULTURAL),PJ,São uma OSCIP. Como classificar?,Movimento Cultural De Literatura E Arte Do Brasil,,,Entidade cultural
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,4.0,,4,,,Sim,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,GABRIELA PAES DE CARVALHO ROCHA (ASSESSORA DA DIRETORIA JURÍDICA),PJ,A Empresa Brasil de Comunicação (EBC) é uma empresa pública federal,EBC (EMPRESA BRASIL DE COMUNICAÇÃO),,,home video
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,MOACYR MALTEZ OLIVEIRA JUNIOR,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,FABRIZIO LEMOS DONEGÁ,,,Indivíduo interessado
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,PAULO CÉSAR AREAS FERREIRA (DIRETOR),PJ,,RPC EMPREENDIMENTOS E PARTICIPAÇÕES,,,home video
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,JORGE LUIZ TOMATIS PETERSEN (ADVOGADO),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",GRÊMIO FBPA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,MARCELO DA SILVA CARVALHO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,ANTONIO CARLOS VIEGAS,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,3.0,,3,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,HAMILTON CORREA MARINZECK (BANCARIO),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",BANCO HSBC,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,3.0,,3,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,ÉDIPO DE MELO BARCELOS (EMPREGADO DE EMPRESA PRIVADA),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",ESCOPOWER - GERADORES E SERVIÇOS,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,CARLOS JOSE TREVISAN JR,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,NELSON CORREIA DE MELO JUNIOR,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,3.0,,3,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,ALAN RIBEIRO MOURA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,3.0,,3,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,PAULO CEZAR LOBO COLLI (ADMINISTRADOR),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",IRMÃOS PASSAÚRA S/A,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,MARCOS DURIEZ,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,LUIZ ANTONIO KUNIYOSHI,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,ROSANA SOARES (ESTUDANTE),PF,,UFRG- UNIVERSIDADE FEDERAL DO RIO GRANDE,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,3.0,,3,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,ARIAN G MAINARDES,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,RODRIGO ROCHA DE REZENDE,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,VITOR SENA RIBEIRO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,THELMA SHIRLEN SOARES (PROFESSORA ),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",UNIVERSIDADE FEDERAL DE GÓIÁS,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,CINTIA MACHADO CORTES DIAS,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,ERIKA MAYRINK,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,LUIS CONCEIÇÃO DE ARAUJO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,GEORGE AUGUSTO BARBOSA DE ARAUJO,,,Indivíduo interessado
